State,Participant Name,Institution,Collection,Project Title,Link,Years Covered,Year of Interview,Project Overview
Louisiana,Clarence Marie Collier Audio Interview,East Baton Rouge Parish,Remembering the Struggle and the Where Were You When....? Oral History Project.,Clarence Marie Collier Audio Interview,https://batonrougedigitalarchive.contentdm.oclc.org/digital/collection/p15196coll3/id/24/rec/8,1960s-1970s,1983,"Clarence Marie Collier was born in St. Francisville, Louisiana but moved to Baton Rouge, Louisiana when she was 2.  She attended McKinley High School and went on to attend Southern University where she studied science and education.  She  went on to teach in Ascension and East Baton Rouge Parish School systems and served as the Principle of the newly constructed Park Elementary School and later as a Supervisor for the Parish.  She was an executive member of the Baton Rouge NAACP and the Black Teachers Association through the Louisiana Education Association.  She later took on the position of System Vice President of Student Affairs and Community Services at Southern University in 1975.   She retired in 1985."
Louisiana, George W. Jr. Gore,Fisk University,Fisk University Oral History Collection: OH 119 Archives Range 9 Cabinet 2,,https://www.fisk.edu/wp-content/uploads/2020/06/Fisk_Oral_History_Collection1.pdf,N/A,1972,Discusses the discriminatory practices of the National Teacher Association prior to the 1950's and the growth of higher education for black people in Tennessee.
Louisiana,"Halson V. Eagleson, ",Fisk University,Fisk University Oral History Collection: OH 145 (sides I & II & III) Archives Range 9 Cabinet 2,,https://www.fisk.edu/wp-content/uploads/2020/06/Fisk_Oral_History_Collection1.pdf,N/A,1972,Talks about the influences on his career and his rewarding experiences as a teacher
Louisiana, James A. Emanuel,Fisk University,Fisk University Oral History Collection: OH 123 (side 1) Archives Range 9 Cabinet 2,,https://www.fisk.edu/wp-content/uploads/2020/06/Fisk_Oral_History_Collection1.pdf,N/A,1972,"Discusses his experiences as a teacher and his interest in class struggles among workers as well as his interest in black culture including poetry, academics, films, aesthetics, genocide and politics. (see Side A for OP tape #38 by Emanuel that includes ""The Poetry of Paul Lawrence Dunbar"")"
Louisiana,O.C.W. Taylor,Columbia University,Columbia Center for Oral History ,"Oral history interview with O. C. W. Taylor, 1971.",https://oralhistoryportal.library.columbia.edu/document.php?id=ldpd_13479908,1915-1970,1971,"In his 1971 interview with Henry La Brie III, Taylor discusses the origins, cost, circulation, and profitability of the Louisiana Weekly. He describes the various jobs he held, including employment with the Pittsburgh Courier, the Associated Press, WNOE radio, WWOM-TV, and the New Orleans public school system. Other topics of discussion include: what people want to see in the news; the successes and challenges of the black press; the contributions of the black press to the civil rights movement; memories of a lynching Taylor witnessed as an adolescent; and Taylor's predictions for the future of the black press."
Lousiana ,F. Paul Augstin,University of Kentucky,Sue Eakin Louisiana History: Black History Oral History Project,"Interview with F. Paul Augustin, December 14, 1970",https://kentuckyoralhistory.org/ark:/16417/xt72z31nk037,NA,1970,African Americans High school principals history Louisiana Segregation in education
Lousiana ,Unknown,University of Kentucky,Sue Eakin Louisiana History: Black History Oral History Project,Interivew with Unknown,https://kentuckyoralhistory.org/ark:/16417/xt7mcv4brw0k,N/A,1979,African American clergy African American educators African American Lutherans Louisiana
Lousiana ,Sidak,University of Kentucky,Sue Eakin Louisiana History: Black History Oral History Project,"Interview with Sidak,",https://kentuckyoralhistory.org/ark:/16417/xt7sf7666z5b,N/A,N/A,Education Race relations African Americans
Lousiana ,Ida Hines,University of Kentucky,Sue Eakin Louisiana History: Black History Oral History Project,"Interview with Ida Hines, September 11, 19??",https://kentuckyoralhistory.org/ark:/16417/xt7x3f4kq04j#,N/A,N/A,African American schools African Americans Education Louisiana
Lousiana ,Marius Benjamin,University of Kentucky,Sue Eakin Louisiana History: Black History Oral History Project,,https://kentuckyoralhistory.org/ark:/16417/xt7c599z313b,N/A,1975,African American schools African Americans Louisiana
Lousiana ,Fedelia Johnson ,Harvard University ,Black women Oral Project ,Fedelia Johnson Oral History Project ,https://iiif.lib.harvard.edu/manifests/view/drs:45172383$1i,1976-1981,N/A,DIscusses the life of Ms. Fedelia Johnson and her life as a teacher in the rural schools of Lousiana
Maryland,Eniola McMillan,Maryland Center for History and Culture,"Special Collections
 H. Furlong Baldwin Library",McKeldin-Jackson Project oral history collection,https://mdhistory.libraryhost.com/repositories/2/archival_objects/146312,1960s-1980s,1976,"Enolia Pettigen McMillan (1904-2006) was a dedicated civil rights activist and a passionate educator who worked for the National Association for the Advancement of Colored People (NAACP) for over five decades. She served as president of the Baltimore branch of the NAACP for 15 years until 1984 when she became the first female president of the organization nationally. In this oral history interview, McMillan shares her experience working as a Black teacher in Maryland during the 1920s and 1930s, while illuminating the racial inequality and segregation that existed within the educational system. She discusses her service as regional vice president of the National Association of Colored Teachers (later named the American Teachers’ Association) and her contributions towards achieving better pay and facilities for Black teachers and students. McMillan explains how she became involved with the NAACP and touches on the process of its reorganization in 1935 when freedom fighter Lillie May Carroll Jackson became president. She describes the dynamic relationship between the NAACP, the Baltimore Afro-American newspaper, and the religious sector of the Baltimore community, and explains how this support network facilitated progress in seeking racial justice. McMillan also touches upon the positive effects of the 1954 Supreme Court Decision, which outlawed separate but equal education. She further discusses Jackson’s work in real estate, the demographic shift in Baltimore, and the cooperation between the Urban League and the NAACP."
Maryland,Harriet Elizabeth Brown ,Maryland Center for History and Culture,"Special Collections
 H. Furlong Baldwin Library",McKeldin-Jackson Project oral history collection,https://mdhistory.libraryhost.com/repositories/2/archival_objects/225536,1960s,1993,"In this interview, sisters Harriet Elizabeth and Regina Brown describe their lives as Black educators in one-room schoolhouses in Calvert County, Maryland. Regina describes day-to-day experiences, wages, and the conditions of the materials and supplies found in their school for Black children as compared to those in neighboring schools for white children. Additionally, Harriet Elizabeth describes her involvement in the fight for equal pay for Black teachers in Maryland, working with Thurgood Marshall, and desegregation in the 1960s."
Maryland,Regina Brown ,Maryland Center for History and Culture,"Special Collections
 H. Furlong Baldwin Library",McKeldin-Jackson Project oral history collection,https://mdhistory.libraryhost.com/repositories/2/archival_objects/225536,1930s-?,1993,"In this interview, sisters Harriet Elizabeth and Regina Brown describe their lives as Black educators in one-room schoolhouses in Calvert County, Maryland. Regina describes day-to-day experiences, wages, and the conditions of the materials and supplies found in their school for Black children as compared to those in neighboring schools for white children. Additionally, Harriet Elizabeth describes her involvement in the fight for equal pay for Black teachers in Maryland, working with Thurgood Marshall, and desegregation in the 1960s."
Maryland,Virginia Anderson Janey ,Maryland Center for History and Culture,"Special Collections
 H. Furlong Baldwin Library",McKeldin-Jackson Project oral history collection,https://mdhistory.libraryhost.com/repositories/2/archival_objects/225545,1923-1926,1993,"In this interview, teacher Virginia Anderson Janey describes her experiences teaching in one-room schoolhouses in Calvert County, Maryland. She discusses the advantages and disadvantages to teaching in a one-room schoolhouse, recalls the layout and conditions of her classrooms, curriculum, punishments, and parental involvement."
Maryland,Ruth Love,The History Makers,Education Matters,Ruth Love,https://www.thehistorymakers.org/sites/default/files/A2002_103_EAD.pdf,1970s-1980s,2002,"Throughout Love's career in education she served as teacher, policymaker and administrator"
Maryland,Philip Lorenzo Brown,The History Makers,Education Makers ,Philip Lorenzo Brown,https://www.thehistorymakers.org/biography/philip-l-brown-38,1940s-1970s,2006,"He began his teaching career when he was nineteen years old, working in the Anne Arundel County school system. In 1938, Brown led the effort to sue the Anne Arundel Board of Education in order to gain equal pay for African American teachers. In 1970, Brown retired from education, and focused on writing."
Maryland,Rev. H. Rhettt,Smithsonian ,Anacostia Community Meseum ,Rev. H. Rhett James papers,https://anacostia.si.edu/collection/archives/sova-acma-06-037,1961-2004,N/A,"Reverend H. Rhett James was an ardent pastor,African-American educator, and community activist, who played a role in Dallas and the larger Texas community during the Civil Rights era. Reverend H. Rhett James (1928-2004) was born in Baltimore, Maryland, on December 1, 1928. He received his early education in the public schools of Topeka, Kansas, Nashville, Tennessee and San Antonio, Texas, he enrolled at Virginia Union University, Richomond Virginia. Upon graduation (Bachelor's 1950), he accepted a teaching position in San Antonio, and became the first African American to receive the Masters of Education Degree from Our Lady of the Lake College (1951). Returning to his Alma Mater, Virginia Union, he taught in the Department of Education and Psychology and received his Masters of Divinty Degree (1958). Moving to Dallas to accept the pastorate of New Hope Baptist church, he enrolled in the Brite College, T.C.U. and became the first African American to receive the Masters of Theology Degree (1961). He rceived his Ph.D. degree in Urban Administration frm the University of Texas at Arlingotn (1981). He served as pastor of New Hope Baptist church until his retirement in 1986. As a political and community activist, he headed scores of local organizations working for desegregation and human rights causes. He headed the N.A.A.C.P through severe local desegregation and human rights causes; founder and twelve year Board President of the Dallas O.I.C. (Opportunities Industrialization Center); the first black president of the Dallas War on Poverty (DCCAC); founding Board member of the Dallas Urban League and Board and Budget committee member for the Dallas United Way, ACLU, Southern Historical Association, UNCF and YMCA boards. Rverend H. Rhett James died on March 14, 2004. He left one daughter and three sons."
Maryland,Daniel Savoy,Edward H. Nabb Research Center ,,N/A,https://enduringconnections.salisbury.edu/media/interview-with-daniel-savoy-30-september-2019,1960s,2019,"Daniel Savoy was an educator and administrator in Wicomico County. He describes growing up on a sharecropper farm, then moving towards his desire to become an educator. He attended Maryland State College (UMES) in the 1960's during a time of racial tension in Princess Anne, MD, and describes his experiences of being an African-American student at that time. He later became a teacher in Wicomico County, culminating in his being the vice-principal and principal of James M. Bennet High until 1997 when he retired.

This interview is part of the Maryland Humanities Teachers' Institute: Documenting School Desegregation through Oral History collection. For more information, see the Edward H. Nabb Center finding aid."
Maryland,Abna Lancaster,Harvard University: Schlesinger Library,Black Women Oral History Project,"Abna Lancaster (1907-1997), Salisbury, North Carolina. Interviewed by: Felicia Bowens, May 25, 1978.",https://hollisarchives.lib.harvard.edu/repositories/8/archival_objects/2485361,N/A,1968,"Attended Livingston College, Shaw University; taught 28 years as a teacher in the public high schools in Salisbury, 14 years at Livingstone; graduate work at Columbia University; father, a Ph.D. and teacher at Livingstone, was co-founder of Achimota College in Accra, Ghana."
Maryland,Inabel Lindsay,Harvard University: Schlesinger Library,Black Women Oral History Project,"Inabel Lindsay (born 1900), Washington, D.C. Interviewed by: Marcia McAdoo Greenlee, May 20, June 7, 1977.",https://hollisarchives.lib.harvard.edu/repositories/8/archival_objects/2485364,N/A,1977,"Former dean of the School of Social Work, Howard University; teacher, case worker, public welfare administrator; involved in many government conferences and programs."
Massachusetts,Barbara Fields,University of Massachusetts Boston,Boston Teachers Union Oral History Project,,https://openarchives.umb.edu/digital/collection/p15774coll27/id/439/rec/14,1923-1926,2021,"When Barbara Fields took an exam to teach in Boston in the early ‘70s, there were many blacks waiting to be hired, but few in the classroom.

“You'd get placed on the list, but not hired,” she said.

Then came an order from U.S. District Judge W. Arthur Garrity Jr., who presided over the Boston schools’ desegregation plan.

“Judge Garrity ordered that everyone who was on the list be appointed permanently,” Fields recalled.

Fields began at the Shaw Elementary school in Brighton and retired last year as a senior officer in the BPS Office of Equity, a department charged with monitoring employment and educational equity district-wide.

During her five decades in the Boston schools, Fields saw tremendous changes."
Massachusetts,Bob Marshall,University of Massachusetts Boston,Boston Teachers Union Oral History Project,,https://openarchives.umb.edu/digital/collection/p15774coll27/id/47/rec/11,1970s-2000,2021,"Marshall and other black teachers turned to BEAM in 1981, when budget cuts meant teachers’ jobs were on the chopping block. The Boston Teachers Union advocated cutting jobs based on seniority, a strategy that would have decimated the population of black teachers, most of whom secured employment after Garrity’s court order."
Massachusetts,"James A. ""Timo"" Philip and Mary Ann Urban",University of Massachusetts Boston,Boston Teachers Union Oral History Project,,https://openarchives.umb.edu/digital/collection/p15774coll27/id/23/rec/4,1968-1980s,2021," James “Timo” Phillip and other Black educators were concerned as well about the huge number of Black “provisional” teachers that were also losing their jobs as the result of the budget cuts.

In a joint interview with Mary Ann and Timo in 2020, even forty years after the events of 1981, you can still hear the emotion in their voices when they are talking about the impact of “1981” and “the 710.” Those numbers have a meaning and a resonance inside the Boston Teachers Union, in the same way that “9/11” has a meaning and a resonance in a larger American context. (Philip and Urban 2021)"
Massachusetts,Patricia Kelly,Suffolk University: Moakley Archive and Institute,,"John Joseph Moakley Oral History
 Project","https://dc.suffolk.edu/moh/49/#:~:text=Patricia%20Kelly%2C%20an%20administrator%20and,balance%20in%20the%20public%20schools.",1970s,2005,"Patricia Kelly, an administrator and former teacher in the Boston Public Schools, discusses her
 experiences as an African American teacher in the aftermath of the 1974 Garrity decision, which
 required students to be used between Boston neighborhoods with the intention of creating racial
 balance in the public schools."
Massachusetts,"Robert C. Hayden, Jr.",The History Makers,Education Matters,"Robert C. Hayden, Jr.",https://sultan.tnstate.edu/search~S3?/X%22teacher%22+and+%22oral+history%22&searchscope=3&SORT=D/X%22teacher%22+and+%22oral+history%22&searchscope=3&SORT=D&SUBKEY=%22teacher%22+and+%22oral+history%22/25%2C165%2C165%2CB/frameset&FF=X%22teacher%22+and+%22oral+history%22&searchscope=3&SORT=D&27%2C27%2C,1960s-1990s,2004,"After completing his master's degree, Hayden worked as a science teacher until 1965. In 1973, he became the project director for the Educational Development Center where he remained for seven years. Haydn worked for the Boston Public Schools in 1982 where he was the executive assistant to the superintendent."
Massachusetts,Elizabeth Rawlins,The History Makers,Education Matters,Elizabeth Rawlins,https://sultan.tnstate.edu/search~S3?/X%22teacher%22+and+%22oral+history%22&searchscope=3&SORT=D/X%22teacher%22+and+%22oral+history%22&searchscope=3&SORT=D&SUBKEY=%22teacher%22+and+%22oral+history%22/37%2C165%2C165%2CB/frameset&FF=X%22teacher%22+and+%22oral+history%22&searchscope=3&SORT=D&44%2C44%2C,1950s-1990s,2005,"After receiving her B.S. degree in education from Salem State Teachers College in 1950, Rawlins began a seventeen-year career as an elementary school teacher."
Massachusetts,Brenda Chaney,University of Massachusetts Boston,Boston Teachers Union Oral History Project,,https://openarchives.umb.edu/digital/collection/p15774coll27/id/44/rec/7,1960s-1980s,2020,Brenda Chaney was apart of the Boston Teachers Union. 
Massachusetts,Patricia Kelly,Suffolk Univeristy,John Joseph Moakley Oral History Project OH-051,Oral History Interview of Patricia Kelly,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://dc.suffolk.edu/cgi/viewcontent.cgi%3Ffilename%3D0%26article%3D1048%26context%3Dmoh%26type%3Dadditional&ved=2ahUKEwiv586dzKmHAxX6rokEHeuHBn4QFnoECAwQAQ&usg=AOvVaw1KD4BLWSC6Up_8zFO97rD4 ,1970s,2005,"Patricia Kelly, an administrator and former teacher in the Boston Public Schools, discusses her experiences as an African American teacher in the aftermath of the 1974 Garrity decision, which required students to be bused between Boston neighborhoods with the intention of creating racial balance in the public schools. The interview covers her teaching experiences in Charlestown; the racial tension in Charlestown during the 1970s; the impact of the Garrity decision on education in Boston; and her memories of her students and fellow teachers."
Michigan,McArthur Binion ,BOMB ,Oral History Project,An Oral History with McArthur Binion by Judy Pfaff,https://bombmagazine.org/articles/an-oral-history-with-mcarthur-binion/,1970s,2022,"This oral history conversation demonstrates the genuine connection between two artist friends bonded in time, space, and memory. Judy Pfaff engages McArthur Binion as he shares his process of “making himself up” as a writer, printmaker, and celebrated visual artist. This conversation moves through time from MacArthur and Judy’s shared love of Motown and experiences as youths in Detroit, to their well-connected celebrations in New York City as they made their mark on the art scene in the 1970s and through the years, up to the present. Over several sessions conducted via Zoom in the spring of 2021, MacArthur speaks candidly with Judy, his first New York friend, about the lessons they've learned and the era that shaped an entire generation of artists. Together they journey through McArthur’s unexpected career trajectory and the logics that allowed him to land a place in the art world and become successful on his own terms in Detroit, New York, Chicago, and beyond."
Michigan,John W. Porter,Eastern Michigan University,Oral Historites,"INTERVIEW WITH
DR. JOHN W. PORTER Seventeenth President",https://commons.emich.edu/cgi/viewcontent.cgi?article=1004&context=oral_histories,1930-1990s,1991,N/A
Michigan ,Catherine Carter Blackwell,Detroit Westsiders,Oral History Project of the Westsiders,INTERVIEW OF CATHERINE CARTER BLACKWELL,https://thedetroitwestsiders.org/slider/catherine-blackwell,N/A,2005,"Catherine Carter Blackwell, an internationally recognized authority on African history and culture, was a pioneer in the field of African and African-American studies. Her 30-year career with the Detroit Public Schools was devoted to teaching multicultural studies from an African-centered perspective, and she did much to bring about an awareness of the contributions of African Americans to the growth and development of this country. She was quoted as saying she was pleased by the progress African-American studies had made in the schools since the days when pictures of black faces or the contributions of African Americans didn’t appear in school textbooks.

Blackwell, a native of Detroit, began her career in 1955 as a teacher at Garfield Elementary School in Detroit. She served in a variety of capacities in the field of ethnic heritage and black studies including as the African/African-American studies instructional specialist in the Department of Social Studies for the school system. She also represented Region Five on Wayne State University’s Training Institute for Desegregated Education and wrote many papers on African/African-American studies curricula for grades K-12. The Detroit Board of Education recognized her outstanding contributions to education by naming one of its schools the Catherine C. Blackwell Institute of International Studies, Commerce, and Technology.

Blackwell’s love of Africa took her to that continent more than 50 times, and led her to study at most of the universities of East and West Africa. A woman of wit, compassion, and telling insight, Blackwell was a sought-after speaker, storyteller, consultant, and lecturer. Her devotion to education and multicultural studies earned her accolades and honors by the score while her warmth and generosity made her a much-loved member of the community."
Mississippi,Reverend Harry Tartt,The History Makers,Education Matters,Reverend Harry Tartt,https://www.thehistorymakers.org/biography/reverend-harry-tartt,1940s,2002,"Hartt began teaching high school in Gulfport, Mississippi, in 1934, and left Gulfport to pursue an M.A. degree in English literature at the University of Chicago"
Mississippi,C.J. Duckworth,University of Southern Mississippi,,Oral history with Mr. C.J. Duckworth,https://crdl.usg.edu/record/usm_oh_mus-coh-duckworthc,1966,1975,"Oral history.; Three interviews conducted on December 12, 1975, January 19, 1976, and January 23, 1991 with Mr. C.J. Duckworth in his office in Jackson, Mississippi.Duckworth was born in Summerland, Mississippi, Smith County, on February 25, 1911.He enrolled in Alcorn State College (now Alcorn State University) but left early to accept a teaching position in Jasper County.After World War II, Duckworth returned to Alcorn and graduated in 1948.He went on to complete a master's degree at Tuskegee Institute in 1955.He taught and served as principal in the public school systems in Heidelberg, Columbia, Pascagoula and Biloxi. In 1966, Duckworth was elected president of the Mississippi Teachers Association and in that same year was elected president of the American Teachers Association.He served as Executive Secretary of the Mississippi Teachers Association.
Electronic version made available through a National Leadership Grant for Libraries from the Institute for Museum and Library Services.
This item is part of the Civil Rights in Mississippi Digital Archive."
Mississippi,Josephine Bell,University of Southern Mississippi,Civic Rights,Oral history with Josephine Bell,https://usm.access.preservica.com/uncategorized/SO_0bac4cc3-07a8-4e1f-b383-38b53697d875,1950-1970s,1996,"Educator in Adams County, Mississippi"
Mississippi,Dorothy A. Kee,The University of Mississippi,Black Families of Yalobusha County Oral Histories,"Kee, Dorothy",https://egrove.olemiss.edu/blkfam_yalo/5/,N/A,2019,"In this interview, Dorothy A. Kee discusses her thirty year long career as a teacher and central member to the Coffeeville community."
Mississippi,Julia Matilda Burns,Library of Congress,Civil Rights History Project Collection,The Civil Rights History Project,https://www.loc.gov/item/2015669172/,1960s,2013,"Julia Matilda Burns describes her experience in segregated schools in Humphreys County, Mississippi, where she grew up. After becoming a teacher at Marshall High School in Belzoni, Mississippi, she began to take notice of the Civil Rights Movement"
Mississippi,Hattie Jordan,Univeristy of Florida ,Samuel Proctor Oral History ProgramMississippi Freedom Project (MFP),"Interview with Hattie Jordan, September 24, 2010",https://original-ufdc.uflib.ufl.edu/AA00020253/00001,1960s-1980s,2010,"Jordan talks about being the first black teacher at Rosedale High School, and the legacy of Fannie Lou Hamer. People mentioned include: Bob Eily, Shirley Edwards, Brian Hanlon, Vester Lobbins, Caesar Smith, Martin Luther King, Eddie Charles, Willy Burton, Bobby Allie and Margaret Block. Locations are: Ruleville, Doddsville and Sumner, Mississippi."
Mississippi,Festers Taylor,University of Mississippi,Parchman Oral History Project,Oral History Interview with Festers Taylor,https://egrove.olemiss.edu/pohp/11/,1930s-1990,2019,N/A
Mississippi,Julia Matlida ,Library of Congress,Civil Rights History Project (157),"Julia Matilda Burns oral history interview conducted by John Dittmer in Tchula, Mississippi, 2013 March 13",https://www.loc.gov/item/2015669172/,1940s-1980s,2013,"Julia Matilda Burns describes her experience in segregated schools in Humphreys County, Mississippi, where she grew up. After becoming a teacher at Marshall High School in Belzoni, Mississippi, she began to take notice of the Civil Rights Movement, but her involvement was limited because she did not want to lose her job. Burns describes protests by whites against school desegregation in Tchula, Mississippi, and her experiences as a teacher in Tchula. She also discusses her successful election for a position on the school board and the work she accomplished during her tenure."
Mississippi,Ellie Dahmer,Library of Congress,Civil Rights History Project (157),"Ellie Dahmer oral history interview conducted by Emilye Crosby in Hattiesburg, Mississippi, 2015 November 30",https://www.loc.gov/collections/civil-rights-history-project/?q=%22teacher%222,1940s-1960s,2015,"Ellie Dahmer discusses her involvement in the NAACP and voting rights activism in Forrest County, Mississippi. She recalls her experiences in education, both as a student at local schools, Alcorn State University, and Tennessee A&I, and as a teacher in schools throughout Mississippi. Her career as a Forrest County election commissioner is also discussed. She speaks about her husband, fellow activist Vernon Dahmer, and remembers the night when Klu Kulx Klan members burned her home, killing her husband and injuring her children."
Mississippi,Clarence Magee,Library of Congress,Civil Rights History Project (157),"Clarence Magee oral history interview conducted by Emilye Crosby in Hattiesburg, Mississippi, 2015 December 01",https://www.loc.gov/item/2016655404/,1930s-1960s,2015,"Clarence Magee discusses the Civil Rights Movement in Mississippi. He recalls growing up in Marion County, Mississippi, where he was pushed by his family to pursue an education. He remembers becoming involved with the Hattiesburg branch of the NAACP after he was barred from registering to vote in 1956, then working in sensitivity training for Freedom Summer volunteers. He also discusses teaching in schools, working for the federal government, and co-founding the Hattiesburg Association for Civic Improvement.
"
Mississippi,Margaret Walker Alexander,Harvard University: Schlesinger Library,Black Women Oral History Project,"Margaret Walker Alexander (1915-1998), Jackson, Mississippi. Interviewed by: Marcia McAdoo Greenlee, January 22 and 23, 1977.",https://hollisarchives.lib.harvard.edu/repositories/8/archival_objects/2485324,N/A,1977,"Author, poet, teacher; author of Jubilee, For My People, and Prophets For a New Day; recipient of Yale Award for Younger Poets, 1942; professor of English, Jackson State University; member of Black Women Oral History Project Advisory Committee."
Nevada,Billie Rayford,"Univeristy of Nevada, Las Vegas",African American in Las Vegas: A Collaborative Oral History Project,Billie Rayford oral history interview (OH-03429),https://special.library.unlv.edu/ark%3A/62930/f1vb3f,1952-,2018,"Oral history interview with Billie Rayford conducted by Claytee D. White on May 01, 2018 for the African Americans in Las Vegas: a Collaborative Oral History Project. In this interview, Rayford discusses her early life in Jefferson, Texas. She talks about school integration, living during the Jim Crow laws, and the discrimination she experienced at the time. Rayford remembers moving to Las Vegas, Nevada in 1979, obtaining a teaching position at Rancho High School, and teaching students with special needs. Rayford describes the implementation of empowerment schools in the Clark County School District (CCSD), and her involvement with the dual enrollment program at the College of Southern Nevada (CSN) for CCSD high school students. Later, Rayford discusses her involvement with Alpha Kappa Alpha sorority, Les Femmes Douze (The Ladies Twelve), 20 Pearls Foundation, and providing civil services for the Westside community. Lastly, Rayford talks about being a charter member of 100 Black Women. Digital audio available; no transcript available."
Nevada,Eva G. Simmons,"Univeristy of Nevada, Las Vegas",African American in Las Vegas: A Collaborative Oral History Project,"Video Interview with Eva G. Simmons at Vegas PBS, November 19, 2013",https://special.library.unlv.edu/taxonomy/term/16333,1960s-1980s,2013,"Eva is a founder of Les Femme Douze, a teacher for nearly four decades, community leader. Talks about recruitment of black teachers; Mabel Hoggard among other topics from the 1960s-1980s; and the future of the Westside."
New Jersey,Frances Grant,Harvard University: Schlesinger Library,Black Women Oral History Project,"Frances Grant (1895-1982), New York, New York. Interviewed by: Maurine P. Rothschild, October 7, 8, 15, and 21, 1977.",https://hollisarchives.lib.harvard.edu/repositories/8/archival_objects/2485344,N/A,1977,"Teacher, Bordentown (New Jersey) Manual Training School, and Fieldston School, New York City; also librarian."
New York,Jean Wiley,Columbia University,Oral history interview with Jean Wiley,,https://search.worldcat.org/title/1244480858,N/A,2002,"In this interview with Sheila Michaels, Jean Wiley discusses Baltimore's Black community, her activism, and her early teaching career."
New York,Lionel McMurren,The History Makers,Education Makers ,Lionel McMurren,https://www.thehistorymakers.org/biography/lionel-mcmurren-39,1950s-1980s,2003,"McMurren began teaching in 1954, at the same junior high that he had attended, Frederick Douglass. He spent most of his career there, eventually serving as principal for thirteen years."
New York City,Jessie Gladden,The History Makers,Education Makers ,Jessie Gladden,https://sultan.tnstate.edu/search~S3?/X%22teacher%22+and+%22oral+history%22&searchscope=3&SORT=D/X%22teacher%22+and+%22oral+history%22&searchscope=3&SORT=D&SUBKEY=%22teacher%22+and+%22oral+history%22/25%2C165%2C165%2CB/frameset&FF=X%22teacher%22+and+%22oral+history%22&searchscope=3&SORT=D&25%2C25%2C,1950s-19992,2004,"Between 1956 and 1972, Gladden taught in Baltimore City Public Schools, taking time off to raise her family."
North Carolina,Septima Poinsette Clark,University of North Carolina,Southern Oral History Program Collection,"Interview with Septima Poinsette Clark, July 25, 1976.",https://docsouth.unc.edu/sohp/G-0016/G-0016.mp3,1900s-1950s,1976,"Septima Clark was a teacher and citizen's education director for the Highlander Folk School and Southern Christian Leadership Conference. She also worked with the South Carolina Council on Human Relations, YWCA, and American Friends Service Committee. This interview covers her childhood in Charleston, South Carolina, and her family's efforts to survive poverty and racial prejudice. Her mother was a washerwoman reared in Haiti, and her father was a former slave on the Poinsette plantation. Her first job as a teacher on John's Island from 1916 to 1919 led to her early activism with the NAACP, her friendship with Judge and Mrs. Waring, and her work with the Charleston YWCA. She married Nerie David Clark as an act of rebellion against her parents, but she chose not to remarry after his early death. She attended college in Columbia, returned to Charleston in 1947, and lobbied for the first local credit union to serve black workers. After she lost her teaching position in 1956 due to her NAACP membership, she worked for the Highlander Folk School encouraging voter registration and education. The SCLC hired her to form education programs, but her plans for increasing community involvement, protecting the labor rights of black teachers, and educating black voters were often ignored because she was female. The interview ends with her thoughts on why she started receiving more recognition for her work in the mid-1970s."
North Carolina,Margaret Hart,,THE INVISIBLE COMMUNITY: AFRICAN AMERICANS IN BERKSHIRE COUNTY (1830-2012),,https://berkshirehistory.org/invisiblecommunity/,1940s,2000,"She also remembers being at Hart Camp in Williamstown, which was founded in 1947 by her brother, Thomas, as a camp for minority youth to experience the outdoors. She then came back to teach special education in Pittsfield."
North Carolina,Kathleen Crosby,The History Makers,Education Matters,Kathleen Crosby,https://www.thehistorymakers.org/biography/kathleen-crosby-39,1940s-1970s,2002,"From 1967 to 1970, she worked as an in-service specialist for early childhood education. She served as principal of Billingsville Elementary School from 1970-1976. A 1976 CBS NEWS documentary highlighted her outstanding leadership in dealing with school desegregation and busing issues."
North Carolina,Ann Harris Toler,East Carolina University,East Carolina Manuscript Collection,Ann Harris Toler Oral History Interview,https://digital.lib.ecu.edu/special/ead/findingaids/oh0230?q=Oral%20history%20teacher%20#overview,1960s-1980s,11/15/1998,"Interview with retired science teacher, from Washington County, NC, whose father was director of prisons for State of North Carolina, who attended East Carolina Teachers College, worked in the Federal Bureau of Investigations crime lab, Washington, DC, taught science at Pantego High School, Pantego, NC, and Pungo Christian Academy, Beaufort County, NC, 1968-1989. "
North Carolina,Mavis M. Alder ,East Carolina University,ECU Manuscript Collection,Mavis M. Alder Oral History Interview,https://digital.lib.ecu.edu/special/ead/findingaids/oh0217?q=Oral%20history%20teacher%20,1920-1999,11/29/1999,"Interview (ca. 1920-1999) with ECTC graduate and Harnett County, NC grade school teacher, raised on Pitt County tobacco farm, whose two brothers were killed in World War II. "
North Carolina,Charles L. Thompson,University of North Carolina,Southern Oral History Program,"Southern Communities: Listening for a
Change: Desegregation and the Inner Life of Chapel
Hill Schools",https://dc.lib.unc.edu/cdm/compoundobject/collection/sohp/id/27068/rec/1,1940s-1990s,2001,Thompson Role in Education Cabinet and sit-ins.
